Address Space,IP Query,Prefix,Forest,EOP DC,IPAM DC,Region,Title,New Title,Prefix ID
Default,25.154.189.4,25.154.189.0/25,CAN01,TO1,YTO20,Canada Central,"EOP: NAM-YTOCAN01 - IPv4_CAP - IPv4_Unknown","EOP: CAN01-TO1 - IPv4_CAP - IPv4_Unknown",e991b9f9-e44a-4801-aeaf-53dd38ee4a04
Default,2001:489a:203:b::,2001:489a:203:b::/64,SIT01,SN5,SN5-FX,USGov Texas,"EOP: ITAR-SN5USG01 - IPv6_CAP - IPV6_A_MGMT","EOP: SIT01-SN5USG01 - IPv6_CAP - IPV6_A_MGMT",938b77a3-3185-420e-9449-495db8b23b1b
Default,10.24.152.17,10.24.152.0/24,APAC,HK1,HK1,East Asia,"EOP: APC-HK1FSPROD - IPv4_CAP - INFRA","EOP: APAC-HK1FSPROD - IPv4_CAP - INFRA",f6f2e00a-fb09-46fe-91dd-2578e008ec9b
Default,10.24.151.8,10.24.151.0/24,APAC,HK1,HK1,East Asia,"EOP: APC-HK1FSPROD - IPv4_CAP - CORE","EOP: APAC-HK1FSPROD - IPv4_CAP - CORE",0f032007-5085-402d-a6df-e858fced0b00
Default,207.46.51.106,207.46.51.96/27,APAC,HK1,HK1,East Asia,"EOP: APC-HK1GAS01 - IPv4_Anchor - TBD","EOP: APAC-HK1GAS01 - IPv4_Anchor - TBD",d593ff35-62b8-4af7-b072-2797c30cff02
Default,134.170.140.244,134.170.140.0/24,APAC,HK1,HK1,East Asia,"EOP: APC-HK1FSPROD - IPv4_Anchor - IPV4_HRI","EOP: APAC-HK1FSPROD - IPv4_Anchor - IPV4_HRI",5b96b85c-4cfe-4004-a3eb-dfb2b76204b5
Default,2a01:111:f400:fc18:0:0:0:299,2a01:111:f400:fc18::/64,APAC,HK1,HK1,East Asia,"EOP: GCC-HK1FSPROD - IPv6_Anchor - IPV6_HRI","EOP: APAC-HK1FSPROD - IPv6_Anchor - IPV6_HRI",0eef44f5-3222-4259-85c8-27a4f47961d8
Default,25.154.250.4,25.154.250.0/24,APAC,KU1,KUL01,APAC Southeast 2,"EOP: APC-KU1FSPROD - IPv4_CAP - IPV4_A_MGMTILO","EOP: APAC-KU1FSPROD - IPv4_CAP - IPV4_A_MGMTILO",6b2cbabb-6d76-40e9-9248-8252dace938b
Default,10.174.68.8,10.174.68.0/23,EMEA,AM1,AM1,West Europe,"EOP: EUR-AM1FSPROD - IPv4_ILO - IPv4_ILO","EOP: EMEA-AM1FSPROD - IPv4_ILO - IPv4_ILO",23687bd4-0f41-4991-a8cd-db35c82056e4
Default,213.199.154.23,213.199.154.0/27,EMEA,AM1,AM1,West Europe,"EOP: EUR-AM1FSPROD - IPv4_Anchor - IPV4_PUBOB","EOP: EMEA-AM1FSPROD - IPv4_Anchor - IPV4_PUBOB",37c0a52b-7bcc-4529-9480-56bed6da6628
Default,157.56.112.244,157.56.112.0/24,EMEA,AM1,AM1,West Europe,"EOP: EUR-AM1FSPROD - IPv4_Anchor - IPV4_HRI","EOP: EMEA-AM1FSPROD - IPv4_Anchor - IPV4_HRI",0229f2b9-5a01-42af-9344-b016d313eb1d
Default,2a01:111:f400:fe00:0:0:0:299,2a01:111:f400:fe00::/64,EMEA,AM1,AM1,West Europe,"EOP: EUR-AM1FSPROD - IPv6_Anchor - IPV6_HRI","EOP: EMEA-AM1FSPROD - IPv6_Anchor - IPV6_HRI",f2bef3ac-f12e-4a70-850b-8569fdad66fd
Default,10.47.220.14,10.47.220.0/23,EMEA,DB3,DB3,North Europe,"EOP: EUR-DB3FSPROD - IPv4_ILO - IPv4_ILO","EOP: EMEA-DB3FSPROD - IPv4_ILO - IPv4_ILO",8722668c-a406-4f00-aec2-2cefca5464d5
Default,10.47.216.18,10.47.216.0/23,EMEA,DB3,DB3,North Europe,"EOP: EUR-DB3FSPROD - IPv4_CAP - CORE","EOP: EMEA-DB3FSPROD - IPv4_CAP - CORE",c9da6536-e5ca-4733-afac-0fb52d7e32ad
Default,213.199.154.87,213.199.154.64/27,EMEA,DB3,DB3,North Europe,"EOP: EUR-DB3FSPROD - IPv4_Anchor - IPV4_PUBOB","EOP: EMEA-DB3FSPROD - IPv4_Anchor - IPV4_PUBOB",f8a107e3-b1cc-4842-afbf-b71ca53f024d
Default,157.55.234.244,157.55.234.0/24,EMEA,DB3,DB3,North Europe,"EOP: EUR-DB3FSPROD - IPv4_Anchor - IPV4_HRI","EOP: EMEA-DB3FSPROD - IPv4_Anchor - IPV4_HRI",97400f8c-c581-44c1-b0f5-42b66b48175d
Default,2a01:111:f400:fe04:0:0:0:299,2a01:111:f400:fe04::/64,EMEA,DB3,DB3,North Europe,"EOP: EUR-DB3FSPROD - IPv6_Anchor - IPV6_HRI","EOP: EMEA-DB3FSPROD - IPv6_Anchor - IPV6_HRI",357e764f-c2ba-4a24-9644-4f5af74bda83
Default,20.128.4.132,20.128.4.128/26,ARE01,AU2,AUH20,UAE Central,"EOP: EUR-AD2ARE01 - IPv4_ILO - TBD","EOP: ARE01-AU2 - IPv4_ILO - TBD",89ccc14b-26c7-4750-951f-da9a51ab6c8e
Default,10.233.246.5,10.233.246.0/23,ARE01,AU2,AUH20,UAE Central,"EOP: EUR-AD2ARE01 - IPv4_CAP - IPV4_CAP","EOP: ARE01-AU2 - IPv4_CAP - IPV4_CAP",427e7304-317c-4b9c-b768-4e26e0233917
Default,23.103.134.64,23.103.134.64/27,ARE01,AU2,AUH20,UAE Central,"EOP: EUR-AD2ARE01 - IPv4_Anchor - IPV4_PUBOB","EOP: ARE01-AU2 - IPv4_Anchor - IPV4_PUBOB",1b728109-3162-4694-b4ba-f0a085875eac
Default,2a01:111:f400:7ea6::,2a01:111:f400:7ea6::/64,ARE01,AU2,AUH20,UAE Central,"EOP: EUR-AD2ARE01 - IPv6_Anchor - IPV6_PUBOB","EOP: ARE01-AU2 - IPv6_Anchor - IPV6_PUBOB",9302b486-61d7-48e9-8822-3ebc2a363a46
Default,10.233.244.128,10.233.244.128/26,ARE01,AU2,AUH20,UAE Central,"EOP: EUR-AD2ARE01 - IPv4_CAP - IPV4_SONCAP","EOP: ARE01-AU2 - IPv4_CAP - IPV4_SONCAP",f9a04c5b-59fd-4e98-8618-3cfac03b38f9
Default,2a01:111:e400:3807::,2a01:111:e400:3807::/64,ARE01,AU2,AUH20,UAE Central,"EOP: EUR-AD2ARE01 - IPv6_ILO - IPV6_SONCAPILO","EOP: ARE01-AU2 - IPv6_ILO - IPV6_SONCAPILO",c03cbd4e-e554-4455-8631-2a6bdda5469b
Default,40.95.238.0,40.95.238.0/24,ARE01,AU2,AUH20,UAE Central,"EOP: APC-AD2ARE01 - IPv4_1022/1023 - IPv4_1022/1023","EOP: ARE01-AU2 - IPv4_1022/1023 - IPv4_1022/1023",26211091-242e-426d-8bb0-c2f3eeb13d83
Default,104.47.84.0,104.47.84.0/24,ARE01,AU2,AUH20,UAE Central,"EOP: APC-AD2ARE01 - IPv4_1701 - IPV4_HRI","EOP: ARE01-AU2 - IPv4_1701 - IPV4_HRI",0b8c7527-f35f-4e2a-81f5-3068bdafa04e
Default,40.94.229.0,40.94.229.0/24,ARE01,AU2,AUH20,UAE Central,"EOP: APC-AD2SAP01 - IPv4_Sonar - IPv4_Sonar","EOP: ARE01-AU2 - IPv4_Sonar - IPv4_Sonar",5abe1981-f6da-4870-a994-b07b435f1609
Default,25.154.245.4,25.154.245.0/24,AUS01,SY3,SYD03,Australia East,"EOP: APC-SY1Unknown - IPv4_CAP - IPv4_Unknown","EOP: AUS01-SY3 - IPv4_CAP - IPv4_Unknown",29e25bd5-ac1c-4278-bfe8-c1de92220bd6
Default,25.152.234.5,25.152.234.0/23,AUS01,SY3,SYD03,Australia East,"EOP: APC-SY1Unknown - IPv4_CAP - IPv4_Unknown","EOP: AUS01-SY3 - IPv4_CAP - IPv4_Unknown",5c420a23-deb4-4379-9326-516c5178a6be
Default,104.47.117.0,104.47.117.0/24,AUS01,SY3,SYD03,Australia East,"EOP: APC-SY1AUS01 - IPv4_1701 - IPV4_HRI","EOP: AUS01-SY3 - IPv4_1701 - IPV4_HRI",9afbd493-1187-4b3b-9a90-80bc2b04c159
Default,2a01:111:f400:feb5::,2a01:111:f400:feb5::/64,AUS01,SY3,SYD03,Australia East,"EOP: APC-SY1AUS01 - IPv6_Anchor - v_6 HRI","EOP: AUS01-SY3 - IPv6_Anchor - v_6 HRI",6e3dc8bb-b134-49b9-9968-39eea881003a
Default,2a01:111:e400:fcb5::,2a01:111:e400:fcb5::/64,AUS01,SY3,SYD03,Australia East,"EOP: APC-SY1AUS01 - IPv6_CAP - IPV6_SONCAP","EOP: AUS01-SY3 - IPv6_CAP - IPV6_SONCAP",e663fade-1570-4ca7-b511-0fa8d97ee19a
Default,21.3.245.0,21.3.245.0/24,AUS01,SY3,SYD03,Australia East,"EOP: APC-SY1AUS01 - IPv4_CAP - IPV4_SONCAPILO","EOP: AUS01-SY3 - IPv4_CAP - IPV4_SONCAPILO",4cfe2d25-cc14-4c59-be27-f20532067bc9
Default,2a01:111:e400:38b5::,2a01:111:e400:38b5::/64,AUS01,SY3,SYD03,Australia East,"EOP: APC-SY1AUS01 - IPv6_ILO - IPV6_SONCAPILO","EOP: AUS01-SY3 - IPv6_ILO - IPV6_SONCAPILO",3863c8b5-45a5-4346-90bb-a05b9367d686
Default,20.128.5.84,20.128.5.80/29,CHE01,GV0,GVA20,Switzerland West,"EOP: EUR-GV2CHE01 - IPv4_ILO - TBD","EOP: CHE01-GV0 - IPv4_ILO - TBD",886118b8-4412-47b9-82b4-f607b073e0fa
Default,40.107.23.0,40.107.23.0/24,CHE01,GV0,GVA20,Switzerland West,"EOP: EUR-ZR0CHE01 - IPv4_1101/1102 - IPv4_1101/1102","EOP: CHE01-GV0 - IPv4_1101/1102 - IPv4_1101/1102",7e463810-52cf-4cae-96d8-e80ee0bbf13b
Default,52.101.153.0,52.101.153.0/24,CHE01,GV0,GVA20,Switzerland West,"EOP: EUR-ZR0CHE01 - IPv4_1501 - IPv4_1501","EOP: CHE01-GV0 - IPv4_1501 - IPv4_1501",573271aa-a1c3-4d73-858f-de4d11badf79
Default,40.92.92.0,40.92.92.0/24,CHE01,GV0,GVA20,Switzerland West,"EOP: EUR-ZR0CHE01 - IPv4_1901 - IPv4_1901","EOP: CHE01-GV0 - IPv4_1901 - IPv4_1901",4a826a8b-0aaf-4d0c-ad2e-a55fb0965db7
Default,104.47.22.0,104.47.22.0/26,CHE01,GV0,GVA20,Switzerland West,"EOP: EUR-ZR0CHE01 - IPv4_1701 - IPv4_1701","EOP: CHE01-GV0 - IPv4_1701 - IPv4_1701",74f68c87-9af4-412a-a32d-480e2b9a1326
Default,20.128.5.92,20.128.5.88/29,CHE01,ZR0,ZRH20,Switzerland North,"EOP: EUR-ZR2CHE01 - IPv4_ILO - TBD","EOP: CHE01-ZR0 - IPv4_ILO - TBD",febde228-8253-40c7-b900-5a0591bf23ed
Default,20.128.122.0,20.128.122.0/24,CHE01,ZR0,ZRH20,Switzerland North,"EOP: EUR-ZR2CHE01 - IPv4_CAP - TBD","EOP: CHE01-ZR0 - IPv4_CAP - TBD",f1c2d399-b5ad-401c-b308-cb6ce70e173c
Default,40.95.92.0,40.95.92.0/24,CHE01,ZR0,ZRH20,Switzerland North,"EOP: EUR-GV0CHE01 - IPv4_1022/1023 - IPv4_1022/1023","EOP: CHE01-ZR0 - IPv4_1022/1023 - IPv4_1022/1023",3ec84065-2134-4a57-a768-079f7697b07d
Default,40.107.24.0,40.107.24.0/24,CHE01,ZR0,ZRH20,Switzerland North,"EOP: EUR-GV0CHE01 - IPv4_1101/1102 - IPv4_1101/1102","EOP: CHE01-ZR0 - IPv4_1101/1102 - IPv4_1101/1102",84a82d6a-404d-4af8-8a20-3aea32d42380
Default,52.101.154.0,52.101.154.0/24,CHE01,ZR0,ZRH20,Switzerland North,"EOP: EUR-GV0CHE01 - IPv4_1501 - IPv4_1501","EOP: CHE01-ZR0 - IPv4_1501 - IPv4_1501",8be08d23-3809-4663-89e9-9b5dea71fef9
Default,40.92.93.0,40.92.93.0/24,CHE01,ZR0,ZRH20,Switzerland North,"EOP: EUR-GV0CHE01 - IPv4_1901 - IPv4_1901","EOP: CHE01-ZR0 - IPv4_1901 - IPv4_1901",b1d349e6-1d8f-4737-a674-d6aee713f173
Default,104.47.22.64,104.47.22.64/26,CHE01,ZR0,ZRH20,Switzerland North,"EOP: EUR-GV0CHE01 - IPv4_1701 - IPv4_1701","EOP: CHE01-ZR0 - IPv4_1701 - IPv4_1701",c55ae02b-2398-43fb-9b08-fc541fdcc7cc
Default,20.128.5.4,20.128.5.0/29,DEU01,BE0,BER20,Germany North,"EOP: EUR-BR2DEU01 - IPv4_ILO - IPv4_ILO","EOP: DEU01-BE0 - IPv4_ILO - IPv4_ILO",e2b28500-76a4-4a34-9fb4-541d98b9232d
Default,20.128.125.0,20.128.125.0/24,DEU01,BE0,BER20,Germany North,"EOP: NAM-BR2DEU01 - IPv4_CAP - TBD","EOP: DEU01-BE0 - IPv4_CAP - TBD",13205402-01d5-449d-a42b-6589f13c5458
Default,2a01:111:e400:7f12::,2a01:111:e400:7f12::/64,DEU01,BE0,BER20,Germany North,"EOP: EUR-BR2DEU01 - IPv6_CAP - v6_Capacity","EOP: DEU01-BE0 - IPv6_CAP - v6_Capacity",892d34e0-d255-4f97-8618-f94ad771525d
Default,23.103.132.208,23.103.132.208/29,DEU01,BE0,BER20,Germany North,"EOP: EUR-BR2DEU01 - IPv4_Anchor - IPv4_Anchor","EOP: DEU01-BE0 - IPv4_Anchor - IPv4_Anchor",80a84ef5-6fd9-4002-af84-2f239f772b53
Default,40.95.91.0,40.95.91.0/24,DEU01,FR2,FRA21,Germany West Central,"EOP: EUR-ZR0CHE01 - IPv4_1022/1023 - IPv4_1022/1023","EOP: DEU01-FR2 - IPv4_1022/1023 - IPv4_1022/1023",576034fc-64f7-4369-a20b-640a6c22d500
Default,40.107.135.0,40.107.135.0/24,DEU01,FR2,FRA21,Germany West Central,"EOP: APC-SG2SGP01 - IPv4_1101/1102 - IPv4_1101/1102","EOP: DEU01-FR2 - IPv4_1101/1102 - IPv4_1101/1102",c42c2dcf-a76f-470d-a788-a81e603b9476
Default,25.153.28.4,25.153.28.0/23,EUR04,VI1,VIE,East Europe,"EOP: EUR-VE1EUR04 - IPv4_CAP - IPV4_CAPILO","EOP: EUR04-VI1 - IPv4_CAP - IPV4_CAPILO",10f33a6c-3675-49f4-a0e4-ff37241a9814
Default,25.152.28.0,25.152.28.0/23,EUR04,VI1,VIE,East Europe,"EOP: EUR-VE1EUR04 - IPv4_CAP - IPV4_CAP","EOP: EUR04-VI1 - IPv4_CAP - IPV4_CAP",4493e54d-97cb-4fc5-a89c-03fb6a2c6142
Default,23.103.133.192,23.103.133.192/27,EUR04,VI1,VIE,East Europe,"EOP: EUR-VE1EUR04 - IPv4_Anchor - IPV4_PUBOB","EOP: EUR04-VI1 - IPv4_Anchor - IPV4_PUBOB",0287b048-6f1d-42f4-8e6c-7252f873014d
Default,104.47.14.0,104.47.14.0/24,EUR04,VI1,VIE,East Europe,"EOP: EUR-VE1EUR04 - IPv4_1701 - IPV4_HRI","EOP: EUR04-VI1 - IPv4_1701 - IPV4_HRI",619301d6-0c7f-4347-92b3-e1bbbe798381
Default,2a01:111:f400:fe0e::,2a01:111:f400:fe0e::/64,EUR04,VI1,VIE,East Europe,"EOP: EUR-VE1EUR04 - IPv6_Anchor - IPV6_HRI","EOP: EUR04-VI1 - IPv6_Anchor - IPV6_HRI",d51f4e80-6bdc-49e1-abaf-026b9621f81f
Default,2a01:111:e400:7e0e::,2a01:111:e400:7e0e::/64,EUR04,VI1,VIE,East Europe,"EOP: EUR-VE1EUR04 - IPv6_CAP - IPV6_CAP","EOP: EUR04-VI1 - IPv6_CAP - IPV6_CAP",f0d06b39-bb71-4b10-8c98-1f18367c432a
Default,2a01:111:f400:7e0e::,2a01:111:f400:7e0e::/64,EUR04,VI1,VIE,East Europe,"EOP: EUR-VE1EUR04 - IPv6_Anchor - IPV6_PUBOB","EOP: EUR04-VI1 - IPv6_Anchor - IPV6_PUBOB",5d683310-d450-47ca-9a40-084cce01ca87
Default,20.128.56.132,20.128.56.128/28,EUR05,VI1,VIE,East Europe,"EOP: EUR-VE1EUR05 - IPv4_ILO - TBD","EOP: EUR05-VI1 - IPv4_ILO - TBD",cf1f51d5-aa53-4831-8892-bd0c2d96055e
Default,10.233.242.0,10.233.242.0/23,EUR05,VI1,VIE,East Europe,"EOP: EUR-VE1EUR05 - IPv4_CAP - IPV4_CAP","EOP: EUR05-VI1 - IPv4_CAP - IPV4_CAP",d319b92f-b373-4cb5-a123-c06c7a962240
Default,2a01:111:e400:7f11::,2a01:111:e400:7f11::/64,EUR05,VI1,VIE,East Europe,"EOP: EUR-VE1EUR05 - IPv6_CAP - SQLCAP","EOP: EUR05-VI1 - IPv6_CAP - SQLCAP",eaa74355-86c2-4ae4-a68c-66665f03a995
Default,23.103.134.0,23.103.134.0/27,EUR05,VI1,VIE,East Europe,"EOP: EUR-VE1EUR05 - IPv4_Anchor - IPV4_PUBOB","EOP: EUR05-VI1 - IPv4_Anchor - IPV4_PUBOB",d68e94c6-5bd9-43e0-91a6-997ee061b148
Default,2a01:111:f400:7d00::,2a01:111:f400:7d00::/64,EUR05,VI1,VIE,East Europe,"EOP: NAM-VE1EUR05 - IPv6_Anchor - IPV6_PUBOB","EOP: EUR05-VI1 - IPv6_Anchor - IPV6_PUBOB",6bf5f4a3-a4ae-4370-a323-6cd197b24b6d
